министерство	магии 1
и	утомительной 1
утомительной	неделе 1
неделе	ни 1
ни	на 1
на	что 1
что	другое 1
другое	в 1
в	голове 1
голове	у 1
у	него 2
него	просто 1
просто	не 1
не	оставалось 1
оставалось	места 1
места	чем 1
чем	больше 1
больше	он 1
он	старался 1
старался	сосредоточиться 1
сосредоточиться	на 1
на	печатной 1
печатной	странице 1
странице	которая 1
которая	лежала 1
лежала	перед 1
перед	ним 1
ним	на 1
на	столе 1
столе	тем 1
тем	отчетливее 1
отчетливее	видел 1
видел	перед 1
перед	собой 1
собой	злорадное 1
злорадное	лицо 1
лицо	одного 1
одного	из 1
из	своих 1
своих	политических 1
политических	противников 1
противников	не 1
не	далее 1
далее	как 1
как	сегодня 1
сегодня	противник 1
противник	этот 1
этот	выступая 1
выступая	в 1
в	программе 1
программе	новостей 1
новостей	не 1
не	только 1
только	перечислил 1
перечислил	все 1
все	ужасные 1
ужасные	происшествия 1
происшествия	минувшей 1
минувшей	недели 1
недели	как 1
как	будто 1
будто	комуто 1
комуто	требовалось 1
требовалось	об 1
об	этом 1
этом	напоминать 1
напоминать	но 1
но	еще 1
еще	и 2
и	подробно 1
подробно	объяснил 1
объяснил	почему 1
почему	в 1
в	каждом 1
каждом	из 1
из	них 1
них	виновато 1
виновато	правительство 1
правительство	у 1
у	премьерминистра 1
премьерминистра	зачастил 1
зачастил	пульс 1
пульс	от 1
от	одной 1
одной	мысли 1
мысли	об 1
об	этих 1
этих	подлых 1
подлых	и 1
и	несправедливых 1
несправедливых	обвинениях 1
обвинениях	интересно 1
интересно	каким 1
каким	это 1
это	образом 1
образом	правительство 1
правительство	могло 1
могло	помешать 1
помешать	мосту 1
мосту	обрушиться 1
обрушиться	возмутительная 1
возмутительная	нелепость 1
нелепость	намекать 1
намекать	будто 1
будто	на 1
на	строительство 1
строительство	мостов 1
мостов	тратится 1
тратится	недостаточно 1
недостаточно	средств 1
средств	мосту 1
мосту	не 1
не	было 1
было	еще 1
и	десяти 1
десяти	лет 1
лет	лучшие 1
лучшие	эксперты 1
эксперты	теряются 1
теряются	в 1
в	догадках 1
догадках	отчего 1
отчего	он 1
он	вдруг 1
вдруг	разломился 1
разломился	ровно 1
ровно	посередине 1
посередине	отправив 1
отправив	дюжину 1
дюжину	автомобилей 1
автомобилей	на 1
на	дно 1
дно	реки 1
реки	и 1
и	как 1
как	только 1
только	наглости 1
наглости	хватило 1
хватило	заявить 1
заявить	что 1
что	причина 1
причина	двух 1
двух	зверских 1
зверских	убийств 1
убийств	широко 1
широко	освещавшихся 1
освещавшихся	в 1
в	средствах 1
средствах	массовой 1
массовой	информации 1
информации	нехватка 1
нехватка	полицейских 1
полицейских	и 1
и	что 1
что	правительство 1
правительство	обязано 1
обязано	было 1
было	какимто 1
какимто	образом 1
образом	предвидеть 1
предвидеть	внезапный 1
внезапный	ураган 1
ураган	пронесшийся 1
пронесшийся	по 1
по	нескольким 1
нескольким	графствам 1
графствам	к 1
к	югозападу 1
югозападу	от 1
от	лондона 1
лондона	причинивший 1
причинивший	огромный 1
огромный	ущерб 1
ущерб	и 1
и	сопровождавшийся 1
сопровождавшийся	человеческими 1
человеческими	жертвами 1
жертвами	и 1
и	разве 1
разве	он 1
он	премьерминистр 1
премьерминистр	виноват 1
виноват	в 1
в	том 1
том	что 1
что	один 1
один	из 1
из	его 1
его	заместителей 1
заместителей	герберт 1
герберт	чорли 1
чорли	именно 1
именно	на 1
на	этой 1
этой	неделе 1
неделе	начал 1
начал	вести 1
вести	себя 1
себя	так 1
так	своеобразно 1
своеобразно	что 1
что	ему 1
ему	теперь 1
теперь	придется 1
придется	значительно 1
значительно	больше 1
больше	времени 1
времени	проводить 1
проводить	дома 1
дома	с 1
с	семьей 1
семьей	страну 1
страну	охватило 1
охватило	уныние 1
уныние	закончил 1
закончил	свою 1
свою	речь 1
речь	представитель 1
представитель	оппозиции 1
оппозиции	почти 1
почти	не 1
не	скрывая 1
скрывая	широкой 1
широкой	довольной 1
довольной	улыбки 1
улыбки	увы 1
увы	тут 1
тут	он 2
он	сказал 1
сказал	чистую 1
чистую	правду 1
правду	премьерминистр 1
премьерминистр	и 1
и	сам 1
сам	это 1
это	почувствовал 1
почувствовал	люди 1
люди	выглядели 1
выглядели	непривычно 1
непривычно	подавленными 1
подавленными	даже 1
даже	погода 1
погода	стояла 1
стояла	безрадостная 1
безрадостная	промозглый 1
промозглый	туман 1
туман	в 1
в	середине 1
середине	июля 1
июля	неправильно 1
неправильно	это 1
это	ненормально 1
ненормально	он 1
он	перевернул 1
перевернул	страницу 1
страницу	меморандума 1
меморандума	увидел 1
увидел	как 1
как	много 1
много	еще 1
еще	осталось 1
осталось	и 1
и	бросил 1
бросил	безнадежные 1
безнадежные	попытки 1
попытки	вникнуть 1
вникнуть	в 1
в	содержание 1
содержание	документа 1
документа	потянулся 1
потянулся	закинув 1
закинув	руки 1
руки	за 1
за	голову 1
голову	обвел 1
обвел	тоскливым 1
тоскливым	взором 1
взором	кабинет 1
кабинет	это 1
это	была 1
была	красивая 1
красивая	комната 1
комната	с 1
с	мраморным 1
мраморным	камином 1
камином	и 1
и	высокими 1
высокими	подъемными 1
подъемными	окнами 1
окнами	напротив 1
напротив	камина 1
камина	сейчас 1
сейчас	они 1
они	были 1
были	плотно 1
плотно	закрыты 1
закрыты	изза 1
изза	не 1
не	вовремя 1
вовремя	наступившего 1
наступившего	похолодания 1
похолодания	слегка 1
слегка	вздрогнув 1
вздрогнув	премьерминистр 1
премьерминистр	поднялся 1
поднялся	и 1
и	подошел 1
подошел	к 1
к	окну 1
окну	уставился 1
уставился	на 1
на	редкий 1
редкий	туман 1
туман	липнущий 1
липнущий	к 1
к	стеклам 1
стеклам	и 1
и	тут 1
он	услышал 1
услышал	как 1
как	ктото 1
ктото	негромко 1
негромко	кашлянул 1
кашлянул	у 1
него	за 1
за	спиной 1
спиной	премьерминистр 1
премьерминистр	застыл 1
застыл	нос 1
нос	к 1
к	носу 1
носу	со 1
со	своим 1
своим	испуганным 1
испуганным	отражением 1
отражением	в 1
в	темном 1
темном	стекле 1
стекле	звук 1
звук	был 1
был	ему 1
ему	знаком 1
знаком	он 1
он	уже 1
уже	слышал 1
слышал	раньше 1
раньше	этот 1
этот	кашель 1
кашель	очень 1
очень	медленно 1
медленно	он 1
он	повернулся 1
повернулся	лицом 1
лицом	к 1
к	пустой 1
пустой	комнате 1
комнате	в 1
в	чем 1
чем	дело 1
дело	спросил 1
спросил	он 1
он	стараясь 1
стараясь	говорить 1
говорить	с 1
с	твердостью 1
твердостью	которой 1
которой	на 1
на	самом 1
самом	деле 1
деле	не 1
не	ощущал 1
